"시점",전국,수도권,지방,서울,서울,서울,서울,서울,서울,광역시,광역시,광역시,광역시,광역시,광역시,세종,도,도,도,도,도,도,도,도,도
"시점",소계,소계,소계,서울,도심권,동북권,동남권,서북권,서남권,부산,대구,인천,광주,대전,울산,소계,경기,강원,충북,충남,전북,전남,경북,경남,제주
"2013. 06",243.2,323.0,204.5,474.2,603.4,410.6,757.6,489.1,445.2,252.6,238.4,253.0,179.3,237.9,235.2,180.7,296.9,149.8,185.9,195.9,161.6,141.0,158.9,222.6,193.6
"2013. 07",247.7,320.1,207.3,450.6,597.3,403.3,717.8,477.3,444.9,253.5,240.5,254.9,185.1,235.4,241.6,168.6,297.9,151.5,194.9,202.7,162.7,141.7,160.8,223.0,191.6
"2013. 08",265.2,333.5,212.0,464.4,617.3,409.7,771.0,488.2,450.0,259.2,250.1,257.8,187.4,240.9,247.1,162.1,312.2,154.2,196.9,208.7,162.5,141.8,166.0,231.9,186.5
"2013. 09",274.3,343.3,218.0,471.6,603.3,418.6,759.4,494.2,458.9,259.6,257.1,258.4,188.7,244.7,256.7,205.0,318.3,156.8,200.2,210.9,170.8,143.7,169.1,234.7,191.9
"2013. 10",267.2,341.4,220.7,482.9,617.3,421.1,768.4,501.6,464.9,264.6,257.8,262.2,194.4,251.9,252.9,204.6,313.7,157.5,200.1,210.2,171.8,146.7,172.4,235.4,204.7
"2013. 11",262.5,345.9,220.3,494.8,638.6,424.0,811.1,496.9,467.8,263.0,267.6,264.8,196.3,253.1,252.7,198.9,312.2,156.8,200.0,220.8,171.8,144.8,172.9,235.3,200.0
"2013. 12",268.6,356.3,218.5,513.9,627.7,428.3,859.0,484.0,470.8,262.5,262.2,266.8,199.1,255.6,250.0,209.7,323.3,156.7,202.4,211.3,165.0,140.2,172.0,235.8,196.6
"2014. 01",276.6,359.2,220.3,511.2,638.4,431.0,823.5,499.2,477.2,267.9,269.5,265.3,195.8,252.1,258.4,212.3,327.3,158.8,200.0,214.5,176.8,141.7,166.7,234.9,200.6
"2014. 02",275.4,354.4,221.2,503.0,618.4,431.0,784.3,518.4,476.6,264.3,262.1,265.4,199.3,246.0,258.9,204.1,321.8,158.7,200.1,215.5,168.3,142.7,169.8,239.6,195.6
"2014. 03",269.2,342.0,222.5,483.8,613.1,427.9,756.2,482.9,464.4,269.1,268.4,264.4,196.7,247.2,262.5,190.4,311.8,153.0,201.8,213.9,164.8,141.4,169.4,237.1,200.5
"2014. 04",261.8,338.9,218.0,485.8,637.4,431.8,797.0,500.2,464.9,265.0,264.7,263.8,196.7,245.1,263.4,185.9,308.9,153.1,196.5,204.3,162.5,140.7,176.6,236.8,196.5
"2014. 05",263.6,338.4,220.6,487.7,600.8,424.2,800.5,496.6,467.7,261.9,268.3,265.3,197.7,243.1,265.5,209.3,313.4,153.8,204.0,211.8,161.3,140.6,175.1,236.9,206.3
"2014. 06",267.8,347.1,222.0,491.9,630.6,426.7,818.4,488.3,476.5,264.4,275.0,267.0,194.3,242.9,268.3,195.8,318.0,156.7,199.0,216.7,161.7,141.5,176.6,241.5,214.7
"2014. 07",275.5,355.6,225.5,501.2,638.0,425.4,825.7,515.0,474.3,270.8,274.9,270.6,202.5,247.2,268.5,195.5,323.7,156.2,200.2,216.8,162.6,140.6,176.5,247.7,207.1
"2014. 08",288.4,360.2,230.5,511.9,651.9,433.5,823.5,524.8,481.6,273.5,282.1,271.9,209.0,247.1,265.2,209.6,330.0,158.8,204.0,219.4,168.6,141.6,182.2,244.7,214.8
"2014. 09",288.9,364.0,230.9,506.2,635.7,431.0,830.6,508.8,483.4,276.7,283.8,272.2,210.3,246.8,270.0,200.0,329.5,158.7,207.3,217.8,164.5,143.5,183.5,247.2,212.0
"2014. 10",281.4,359.1,232.8,506.7,662.6,437.0,793.1,510.3,478.4,271.8,290.1,274.7,208.8,253.8,273.8,210.2,324.0,161.6,213.0,217.7,171.3,144.2,180.1,243.8,223.7
"2014. 11",281.8,361.9,233.1,500.6,636.3,447.0,770.5,514.2,473.6,276.0,296.4,279.6,218.0,248.9,274.2,196.3,328.5,158.4,212.0,209.4,172.2,146.5,183.8,247.0,217.8
"2014. 12",286.2,372.6,233.1,513.1,658.9,444.9,815.4,523.0,478.9,281.3,297.7,283.4,212.5,253.8,276.1,202.9,335.7,155.0,206.9,214.5,176.5,144.1,190.1,240.0,221.5
"2015. 01",292.7,374.8,231.7,507.2,667.5,442.4,796.8,516.3,480.2,281.3,300.2,282.5,214.2,252.2,275.3,210.7,335.0,167.2,206.3,213.1,175.5,147.0,188.8,242.8,233.3
"2015. 02",299.3,378.9,233.1,513.1,658.9,448.2,819.9,533.8,486.0,282.4,302.6,281.4,215.8,252.7,278.5,216.5,336.0,163.5,205.0,217.5,171.3,147.2,191.8,244.2,230.5
"2015. 03",300.5,376.9,234.0,515.9,668.0,448.9,854.3,528.5,489.6,283.4,308.0,282.0,211.9,239.4,276.7,212.1,334.4,169.9,209.6,213.9,169.0,143.4,191.8,240.1,226.6
"2015. 04",298.7,379.4,234.8,523.5,693.0,449.3,861.0,542.3,500.4,284.1,309.5,282.1,216.7,241.0,275.1,212.6,333.4,167.4,204.0,215.8,170.3,145.6,190.1,243.8,244.6
"2015. 05",301.9,382.4,237.2,523.7,697.4,458.0,878.8,540.3,494.7,285.0,313.5,289.4,216.7,245.1,280.0,210.4,336.9,170.2,210.2,216.8,170.5,148.8,186.8,245.9,261.8
"2015. 06",304.4,384.6,235.9,518.6,681.9,456.1,872.6,550.6,501.3,283.2,317.8,286.3,220.0,242.0,282.2,199.7,340.4,168.7,207.0,211.6,167.8,141.8,190.4,248.1,254.5
"2015. 07",310.3,393.0,240.8,523.7,679.3,460.9,850.3,543.5,500.8,294.2,317.7,295.4,221.1,250.1,285.0,217.3,345.3,170.3,200.5,216.9,169.2,144.8,190.9,247.1,261.4
"2015. 08",300.6,384.9,232.5,525.2,699.0,470.5,858.5,546.5,506.2,288.2,315.2,298.2,227.6,249.0,279.7,208.4,337.8,176.0,202.6,209.3,168.1,142.7,191.9,243.8,287.8
"2015. 09",308.7,396.7,238.7,538.7,694.4,470.7,919.2,549.5,526.8,293.1,325.9,303.8,238.0,247.2,292.2,213.0,348.0,179.3,205.1,209.2,171.7,147.0,189.6,246.9,274.9
"2015. 10",309.0,401.5,240.4,560.4,688.4,482.5,927.3,569.6,536.8,298.9,322.5,311.8,229.4,254.3,293.1,217.1,349.0,179.8,204.3,208.4,176.6,150.4,187.1,251.7,329.0
"2015. 11",304.1,405.0,237.1,577.6,722.1,484.3,929.8,567.0,541.9,302.5,310.9,315.4,235.3,257.3,298.4,196.2,351.3,185.1,200.7,209.6,176.1,147.7,185.2,246.8,303.2
"2015. 12",286.7,387.7,229.7,555.6,706.9,485.4,853.4,546.9,537.6,291.3,298.0,304.0,235.8,263.1,295.1,199.1,335.8,183.1,184.5,202.5,176.5,153.1,177.6,236.1,317.9
"2016. 01",288.4,386.1,225.9,542.1,683.1,478.3,874.1,550.3,527.1,295.1,302.5,304.0,231.9,253.0,295.2,211.2,336.0,189.5,198.7,204.7,177.2,154.1,173.7,234.2,329.5
"2016. 02",292.6,392.1,228.5,540.9,687.9,475.6,881.8,529.5,541.1,292.9,308.2,303.8,239.5,254.5,292.8,235.6,343.5,184.3,194.4,204.6,175.4,149.2,173.7,238.6,315.5
"2016. 03",297.1,393.9,227.0,548.8,719.6,478.6,971.2,551.7,525.9,296.2,301.4,298.1,230.8,247.2,291.8,221.4,342.2,191.4,200.1,197.7,172.5,150.1,173.7,234.2,338.6
